geo_id,day,cumulative_number_for_14_days_of_covid_19_cases_per_100000
ad,20200303,
ad,20200314,
ad,20200316,
ad,20200317,
ad,20200318,
ad,20200319,
ad,20200320,
ad,20200321,
ad,20200322,
ad,20200323,
ad,20200324,
ad,20200325,
ad,20200326,
ad,20200327,294.05201045
ad,20200328,349.18676241
ad,20200329,401.69604999
ad,20200330,431.88889035
ad,20200331,467.33265946
ad,20200401,475.2090526
ad,20200402,442.39074786
ad,20200403,463.3944629
ad,20200404,477.83451698
ad,20200405,496.21276763
ad,20200406,509.34008953
ad,20200407,515.90375048
ad,20200408,500.1509642
ad,20200409,493.58730325
ad,20200410,471.27085603
ad,20200411,438.4525513
ad,20200412,412.1979075
ad,20200413,399.07058561
ad,20200414,362.3140843
ad,20200415,371.50320963
ad,20200416,371.50320963
ad,20200417,333.43397613
ad,20200418,337.3721727
ad,20200419,312.4302611
ad,20200420,278.29922418
ad,20200421,250.7318482
ad,20200422,225.7899366
ad,20200423,208.72441813
ad,20200424,185.09523872
ad,20200425,170.65518464
ad,20200426,145.71327304
ad,20200427,133.89868333
ad,20200428,127.33502238
ad,20200429,110.26950392
ad,20200430,91.89125327
ad,20200501,82.70212794
ad,20200502,65.63660948
ad,20200503,56.44748415
ad,20200504,45.94562663
ad,20200505,43.32016225
ad,20200506,44.63289444
ad,20200507,36.75650131
ad,20200508,36.75650131
ad,20200509,27.56737598
ad,20200510,27.56737598
ad,20200511,19.69098284
ad,20200512,17.06551846
ad,20200513,19.69098284
ad,20200514,22.31644722
ad,20200515,21.00371503
ad,20200516,19.69098284
ad,20200517,18.37825065
ad,20200518,17.06551846
ad,20200519,14.44005408
ad,20200520,13.1273219
ad,20200521,14.44005408
ad,20200522,13.1273219
ad,20200523,13.1273219
ad,20200524,10.50185752
ad,20200525,10.50185752
ad,20200526,9.18912533
ad,20200527,6.56366095
ad,20200528,3.93819657
ad,20200529,2.62546438
ad,20200530,3.93819657
ad,20200531,3.93819657
ad,20200601,3.93819657
ad,20200602,5.25092876
ad,20200603,108.95677173
ad,20200604,116.83316487
ad,20200605,118.14589706
ad,20200606,118.14589706
ad,20200607,118.14589706
ad,20200608,116.83316487
ad,20200609,116.83316487
ad,20200610,116.83316487
ad,20200611,116.83316487
ad,20200612,116.83316487
ad,20200613,116.83316487
ad,20200614,116.83316487
ad,20200615,116.83316487
ad,20200616,115.52043268
ad,20200617,13.1273219
ad,20200618,3.93819657
ad,20200619,3.93819657
ad,20200620,3.93819657
ad,20200621,3.93819657
ad,20200622,3.93819657
ad,20200623,3.93819657
ad,20200624,3.93819657
ad,20200625,3.93819657
ad,20200626,3.93819657
ad,20200627,2.62546438
ad,20200628,2.62546438
ad,20200629,2.62546438
ad,20200630,2.62546438
ad,20200701,1.31273219
ad,20200702,1.31273219
ad,20200703,0
ad,20200704,0
ad,20200705,0
ad,20200706,0
ad,20200707,0
ad,20200708,0
ad,20200709,0
ad,20200710,0
ad,20200711,0
ad,20200712,0
ad,20200713,0
ad,20200714,3.93819657
ad,20200715,7.87639314
ad,20200716,9.18912533
ad,20200717,28.88010817
ad,20200718,32.81830474
ad,20200719,32.81830474
ad,20200720,32.81830474
ad,20200721,38.0692335
ad,20200722,38.0692335
ad,20200723,44.63289444
ad,20200724,44.63289444
ad,20200725,44.63289444
ad,20200726,55.13475196
ad,20200727,55.13475196
ad,20200728,64.32387729
ad,20200729,60.38568072
ad,20200730,73.51300261
ad,20200731,59.07294853
ad,20200801,59.07294853
ad,20200802,59.07294853
ad,20200803,59.07294853
ad,20200804,69.57480604
ad,20200805,72.20027042
ad,20200806,65.63660948
ad,20200807,72.20027042
ad,20200808,86.64032451
ad,20200809,77.45119918
ad,20200810,77.45119918
ad,20200811,73.51300261
ad,20200812,73.51300261
ad,20200813,77.45119918
ad,20200814,77.45119918
ad,20200815,84.01486013
ad,20200816,84.01486013
ad,20200817,84.01486013
ad,20200818,89.26578889
ad,20200819,86.64032451
ad,20200820,111.58223611
ad,20200821,105.01857516
ad,20200822,118.14589706
ad,20200823,116.83316487
ad,20200824,116.83316487
ad,20200825,127.33502238
ad,20200826,127.33502238
ad,20200827,158.84059493
ad,20200828,153.58966617
ad,20200829,177.21884558
ad,20200830,177.21884558
ad,20200831,177.21884558
ad,20200901,224.47720441
ad,20200902,234.97906192
ad,20200903,229.72813316
ad,20200904,229.72813316
ad,20200905,223.16447222
ad,20200906,223.16447222
ad,20200907,223.16447222
ad,20200908,263.85917009
ad,20200909,263.85917009
ad,20200910,266.48463447
ad,20200911,266.48463447
ad,20200912,288.80108169
ad,20200913,288.80108169
ad,20200914,288.80108169
ad,20200915,343.93583365
ad,20200916,333.43397613
ad,20200917,313.74299329
ad,20200918,372.81594182
ad,20200919,458.14353414
ad,20200920,458.14353414
ad,20200921,458.14353414
ad,20200922,551.34751959
ad,20200923,551.34751959
ad,20200924,593.35494966
ad,20200925,593.35494966
ad,20200926,645.86423724
ad,20200927,645.86423724
ad,20200928,645.86423724
ad,20200929,693.12259606
ad,20200930,693.12259606
ad,20201001,803.39209998
ad,20201002,744.31915145
ad,20201003,716.75177547
ad,20201004,716.75177547
ad,20201005,716.75177547
ad,20201006,904.47247857
ad,20201007,904.47247857
ad,20201008,1069.87673445
ad,20201009,1069.87673445
ad,20201010,1128.94968298
ad,20201011,1128.94968298
ad,20201012,1128.94968298
ad,20201013,1350.801423
ad,20201014,1350.801423
ad,20201015,1496.51469604
ad,20201016,1496.51469604
ad,20201017,1663.2316841
ad,20201018,1663.2316841
ad,20201019,1663.2316841
ad,20201020,1644.85343345
ad,20201021,1644.85343345
ad,20201022,1631.72611156
ad,20201023,1631.72611156
ad,20201024,1761.68659832
ad,20201025,1761.68659832
ad,20201026,1761.68659832
ad,20201027,1745.93381204
ad,20201028,1857.51604815
ad,20201029,1741.99561547
ad,20201030,1807.63222495
ad,20201031,1690.79906008
ad,20201101,1810.25768933
ad,20201102,1900.8362104
ad,20201103,1660.60621973
ad,20201104,1689.48632789
ad,20201105,1619.91152185
ad,20201106,1738.05741891
ad,20201107,1440.06721189
ad,20201108,1681.60993476
ad,20201109,1765.62479489
ad,20201110,1459.75819473
ad,20201111,1400.6852462
ad,20201112,1378.36879898
ad,20201113,1377.05606679
ad,20201114,1391.49612088
ad,20201115,1272.03749163
ad,20201116,1374.43060241
ad,20201117,1346.86322643
ad,20201118,1366.55420928
ad,20201119,1277.28842039
ad,20201120,1222.15366843
ad,20201121,1321.92131483
ad,20201122,1165.70618428
ad,20201123,1146.01520144
ad,20201124,1138.1388083
ad,20201125,1147.32793363
ad,20201126,1130.26241516
ad,20201127,1205.08814997
ad,20201128,1161.76798771
ad,20201129,1240.53191908
ad,20201130,1102.69503919
ad,20201201,1090.88044948
ad,20201202,1101.382307
ad,20201203,1081.69132415
ad,20201204,1100.06957481
ad,20201205,1067.25127007
ad,20201206,1047.56028723
ad,20201207,1042.30935847
ad,20201208,1023.93110781
ad,20201209,1018.68017906
ad,20201210,963.5454271
ad,20201211,861.15231632
ae,20191231,
ae,20200101,
ae,20200102,
ae,20200103,
ae,20200104,
ae,20200105,
ae,20200106,
ae,20200107,
ae,20200108,
ae,20200109,
ae,20200110,
ae,20200111,
ae,20200112,
ae,20200113,0
ae,20200114,0
ae,20200115,0
ae,20200116,0
ae,20200117,0
ae,20200118,0
ae,20200119,0
ae,20200120,0
ae,20200121,0
ae,20200122,0
ae,20200123,0
ae,20200124,0
ae,20200125,0
ae,20200126,0
ae,20200127,0.01023486
ae,20200128,0.01023486
ae,20200129,0.01023486
ae,20200130,0.04093945
ae,20200131,0.04093945
ae,20200201,0.04093945
ae,20200202,0.05117432
ae,20200203,0.05117432
ae,20200204,0.05117432
ae,20200205,0.05117432
ae,20200206,0.05117432
ae,20200207,0.05117432
ae,20200208,0.07164404
ae,20200209,0.07164404
ae,20200210,0.06140918
ae,20200211,0.07164404
ae,20200212,0.07164404
ae,20200213,0.04093945
ae,20200214,0.04093945
ae,20200215,0.04093945
ae,20200216,0.03070459
ae,20200217,0.04093945
ae,20200218,0.04093945
ae,20200219,0.04093945
ae,20200220,0.04093945
ae,20200221,0.04093945
ae,20200222,0.04093945
ae,20200223,0.06140918
ae,20200224,0.06140918
ae,20200225,0.05117432
ae,20200226,0.05117432
ae,20200227,0.05117432
ae,20200228,0.1125835
ae,20200229,0.13305323
ae,20200301,0.13305323
ae,20200302,0.12281836
ae,20200304,0.18422754
ae,20200306,0.20469727
ae,20200308,0.36845509
ae,20200310,0.51174318
ae,20200311,0.6447964
ae,20200313,0.73691017
ae,20200315,0.74714504
ae,20200316,0.8699634
ae,20200317,0.8699634
ae,20200318,1.02348635
ae,20200319,0.96207717
ae,20200320,1.21794876
ae,20200321,1.21794876
ae,20200322,1.35100198
ae,20200323,1.2895928
ae,20200324,1.72969193
ae,20200325,2.07767729
ae,20200326,2.8043526
ae,20200327,2.65082965
ae,20200328,3.27515632
ae,20200329,3.90971786
ae,20200330,4.83085558
ae,20200331,5.25048498
ae,20200401,5.63940979
ae,20200402,7.17463932
ae,20200403,9.04761934
ae,20200404,11.50398658
ae,20200405,13.83753546
ae,20200406,16.68282752
ae,20200407,18.9037929
ae,20200408,21.13499314
ae,20200409,23.17173098
ae,20200410,26.37524326
ae,20200411,29.22053531
ae,20200412,32.21935032
ae,20200413,34.92135429
ae,20200414,38.36026842
ae,20200415,41.80941743
ae,20200416,44.46024707
ae,20200417,46.76309136
ae,20200418,48.93288243
ae,20200419,51.02079458
ae,20200420,52.8118957
ae,20200421,54.81792894
ae,20200422,56.82396219
ae,20200423,58.59459358
ae,20200424,60.40616442
ae,20200425,61.91068935
ae,20200426,63.42544915
ae,20200427,65.16537595
ae,20200428,66.32191552
ae,20200429,67.86737991
ae,20200430,69.3002608
ae,20200501,70.49773984
ae,20200502,71.5724005
ae,20200503,72.75964467
ae,20200504,73.89571452
ae,20200505,75.01131464
ae,20200506,74.99084491
ae,20200507,75.90174777
ae,20200508,76.02456613
ae,20200509,76.59771849
ae,20200510,77.82590211
ae,20200511,80.33344367
ae,20200512,82.27806773
ae,20200513,84.7549047
ae,20200514,86.55624068
ae,20200515,88.05053075
ae,20200516,89.99515482
ae,20200517,92.40034774
ae,20200518,94.10956995
ae,20200519,96.82180877
ae,20200520,101.02833768
ae,20200521,105.07110876
ae,20200522,109.08317526
ae,20200523,113.59675006
ae,20200524,115.5209044
ae,20200525,115.5209044
ae,20200526,116.97425502
ae,20200527,116.93331557
ae,20200528,118.550424
ae,20200529,117.16871743
ae,20200530,116.0531173
ae,20200531,115.33667686
ae,20200601,114.62023641
ae,20200602,112.6039683
ae,20200603,109.76891111
ae,20200604,105.98201161
ae,20200605,103.57681869
ae,20200606,99.78991919
ae,20200607,97.88623458
ae,20200608,95.41963247
ae,20200609,92.81997714
ae,20200610,90.2510264
ae,20200611,87.38526462
ae,20200612,86.52553609
ae,20200613,85.24617815
ae,20200614,82.84098522
ae,20200615,79.18713895
ae,20200616,76.18832394
ae,20200617,73.62960807
ae,20200618,71.69521887
ae,20200619,68.92157086
ae,20200620,66.55731738
ae,20200621,64.12141987
ae,20200622,62.60666007
ae,20200623,60.66203601
ae,20200624,59.14727621
ae,20200625,57.58134209
ae,20200626,57.07983378
ae,20200627,56.02564284
ae,20200628,54.96121703
ae,20200629,56.32245388
ae,20200630,57.41758427
ae,20200701,58.18519904
ae,20200702,58.38989631
ae,20200703,58.51271467
ae,20200704,61.36824159
ae,20200705,64.72527682
ae,20200706,67.7036221
ae,20200707,69.23885162
ae,20200708,70.79455088
ae,20200709,70.74337656
ae,20200710,71.78733264
ae,20200711,72.43212904
ae,20200712,72.59588685
ae,20200713,72.22743177
ae,20200714,71.1527711
ae,20200715,70.68196738
ae,20200716,69.38213971
ae,20200717,68.16419096
ae,20200718,64.28517769
ae,20200719,59.91489097
ae,20200720,55.08403539
ae,20200721,52.45367547
ae,20200722,50.13036146
ae,20200723,47.99127498
ae,20200724,45.14598293
ae,20200725,42.97619187
ae,20200726,42.05505415
ae,20200727,41.54331097
ae,20200728,40.72452189
ae,20200729,40.66311271
ae,20200730,41.68659906
ae,20200731,44.79799757
ae,20200801,41.79918256
ae,20200802,41.44096234
ae,20200803,41.72753852
ae,20200804,40.63240812
ae,20200805,39.44516396
ae,20200806,39.6293915
ae,20200807,39.47586855
ae,20200808,39.01529969
ae,20200809,38.25791979
ae,20200810,36.96832699
ae,20200811,36.09836359
ae,20200812,35.00323319
ae,20200813,33.6829358
ae,20200814,30.53059784
ae,20200815,33.9081028
ae,20200816,34.20491384
ae,20200817,33.9081028
ae,20200818,34.57336893
ae,20200819,36.3747049
ae,20200820,38.2272152
ae,20200821,40.4993549
ae,20200822,42.29045601
ae,20200823,44.18390576
ae,20200824,45.87265824
ae,20200825,46.85520513
ae,20200826,47.64328962
ae,20200827,49.20922374
ae,20200828,51.39948453
ae,20200829,52.01357634
ae,20200830,53.48739669
ae,20200831,55.04309594
ae,20200901,58.23637335
ae,20200902,60.37545983
ae,20200903,63.44591888
ae,20200904,65.011853
ae,20200905,67.27375783
ae,20200906,70.14975448
ae,20200907,71.40864269
ae,20200908,73.40444107
ae,20200909,76.52607444
ae,20200910,81.47974838
ae,20200911,85.97285346
ae,20200912,91.50991461
ae,20200913,97.44613545
ae,20200914,100.2914275
ae,20200915,102.70685529
ae,20200916,103.73034164
ae,20200917,104.82547204
ae,20200918,106.58586856
ae,20200919,109.17528903
ae,20200920,110.23971483
ae,20200921,111.88752786
ae,20200922,114.02661433
ae,20200923,116.15546594
ae,20200924,118.20243864
ae,20200925,118.93934881
ae,20200926,119.7274333
ae,20200927,120.45410861
ae,20200928,122.61366481
ae,20200929,121.06820042
ae,20200930,124.35359161
ae,20201001,126.99418639
ae,20201002,130.80155562
ae,20201003,134.03577249
ae,20201004,138.35488489
ae,20201005,142.11107979
ae,20201006,144.70050026
ae,20201007,146.83958673
ae,20201008,146.46089678
ae,20201009,147.35132991
ae,20201010,148.03706576
ae,20201011,148.5590438
ae,20201012,151.06658536
ae,20201013,155.54945558
ae,20201014,158.8246119
ae,20201015,162.21235172
ae,20201016,164.66871896
ae,20201017,167.03297243
ae,20201018,170.17507553
ae,20201019,171.95594178
ae,20201020,171.7819491
ae,20201021,171.94570691
ae,20201022,176.98125976
ae,20201023,181.98610802
ae,20201024,186.98072141
ae,20201025,190.685742
ae,20201026,193.3775111
ae,20201027,193.85854968
ae,20201028,194.62616445
ae,20201029,194.30888368
ae,20201030,193.42868542
ae,20201031,190.97231817
ae,20201101,186.70438009
ae,20201102,187.34917649
ae,20201103,190.61409795
ae,20201104,189.90789237
ae,20201105,186.04934883
ae,20201106,183.09147327
ae,20201107,180.31782526
ae,20201108,176.73562304
ae,20201109,174.19737689
ae,20201110,174.55559711
ae,20201111,171.54654724
ae,20201112,169.64286263
ae,20201113,167.84152665
ae,20201114,168.39420928
ae,20201115,168.93665704
ae,20201116,168.24068633
ae,20201117,167.98481474
ae,20201118,170.51282602
ae,20201119,171.85359314
ae,20201120,170.46165171
ae,20201121,170.22624985
ae,20201122,171.46466833
ae,20201123,172.4267455
ae,20201124,171.59772156
ae,20201125,173.78798235
ae,20201126,174.63747602
ae,20201127,176.36716795
ae,20201128,176.95055517
ae,20201129,177.74887452
ae,20201130,178.16850393
ae,20201201,177.12454785
ae,20201202,177.47253321
ae,20201203,177.40088916
ae,20201204,179.07940678
ae,20201205,179.50927105
ae,20201206,179.0179976
ae,20201207,178.4857847
ae,20201208,179.33527837
ae,20201209,178.82353519
ae,20201210,178.98729301
ae,20201211,178.47554983
af,20191231,
af,20200101,
af,20200102,
af,20200103,
af,20200104,
af,20200105,
af,20200106,
af,20200107,
af,20200108,
af,20200109,
af,20200110,
af,20200111,
af,20200112,
af,20200113,0
af,20200114,0
af,20200115,0
af,20200116,0
af,20200117,0
af,20200118,0
af,20200119,0
af,20200120,0
af,20200121,0
af,20200122,0
af,20200123,0
af,20200124,0
af,20200125,0
af,20200126,0
af,20200127,0
af,20200128,0
af,20200129,0
af,20200130,0
af,20200131,0
af,20200201,0
af,20200202,0
af,20200203,0
af,20200204,0
af,20200205,0
af,20200206,0
af,20200207,0
af,20200208,0
af,20200209,0
af,20200210,0
af,20200211,0
af,20200212,0
af,20200213,0
af,20200214,0
af,20200215,0
af,20200216,0
af,20200217,0
af,20200218,0
af,20200219,0
af,20200220,0
af,20200221,0
af,20200222,0
af,20200223,0
af,20200224,0
af,20200225,0.00262869
af,20200226,0.00262869
af,20200227,0.00262869
af,20200228,0.00262869
af,20200229,0.00262869
af,20200301,0.00262869
af,20200302,0.00262869
af,20200308,0.01051476
af,20200311,0.01840083
af,20200315,0.0262869
af,20200316,0.04205905
af,20200317,0.0552025
af,20200318,0.05783119
af,20200319,0.05783119
af,20200320,0.0552025
af,20200321,0.06045988
af,20200322,0.06045988
af,20200323,0.08674678
af,20200324,0.10251892
af,20200325,0.1077763
af,20200326,0.19452309
af,20200327,0.18663702
af,20200328,0.22080999
af,20200329,0.25235427
af,20200330,0.25761166
af,20200331,0.31544284
af,20200401,0.37853141
af,20200402,0.44687736
af,20200403,0.55991105
af,20200404,0.55465367
af,20200405,0.64665783
af,20200406,0.69660295
af,20200407,0.78072104
af,20200408,0.85432437
af,20200409,0.91478425
af,20200410,1.07513436
af,20200411,1.13033686
af,20200412,1.18028197
af,20200413,1.29594435
af,20200414,1.37743375
af,20200415,1.44052232
af,20200416,1.55618469
af,20200417,1.46943791
af,20200418,1.60350112
af,20200419,1.67710445
af,20200420,1.83219718
af,20200421,1.82431111
af,20200422,1.90580051
