geo_id,day,deaths_weekly
ad,20200316,0
ad,20200323,0
ad,20200330,6
ad,20200406,12
ad,20200413,11
ad,20200420,7
ad,20200427,4
ad,20200504,5
ad,20200511,3
ad,20200518,3
ad,20200525,0
ad,20200601,0
ad,20200608,0
ad,20200615,0
ad,20200622,1
ad,20200629,0
ad,20200706,0
ad,20200713,0
ad,20200720,0
ad,20200727,0
ad,20200803,0
ad,20200810,0
ad,20200817,1
ad,20200824,0
ad,20200831,0
ad,20200907,0
ad,20200914,0
ad,20200921,0
ad,20200928,0
ad,20201005,0
ad,20201012,2
ad,20201019,4
ad,20201026,10
ad,20201102,6
ad,20201109,0
ad,20201116,1
ad,20201123,0
ad,20201130,0
ad,20201207,2
ad,20201214,1
ad,20201221,2
ad,20201228,1
ad,20210104,2
ae,20200106,0
ae,20200113,0
ae,20200120,0
ae,20200127,0
ae,20200203,0
ae,20200210,0
ae,20200217,0
ae,20200224,0
ae,20200302,0
ae,20200309,0
ae,20200316,0
ae,20200323,2
ae,20200330,1
ae,20200406,7
ae,20200413,12
ae,20200420,19
ae,20200427,35
ae,20200504,50
ae,20200511,72
ae,20200518,22
ae,20200525,25
ae,20200601,19
ae,20200608,12
ae,20200615,13
ae,20200622,13
ae,20200629,11
ae,20200706,10
ae,20200713,10
ae,20200720,6
ae,20200727,5
ae,20200803,7
ae,20200810,6
ae,20200817,7
ae,20200824,11
ae,20200831,7
ae,20200907,6
ae,20200914,11
ae,20200921,5
ae,20200928,8
ae,20201005,14
ae,20201012,19
ae,20201019,18
ae,20201026,14
ae,20201102,19
ae,20201109,18
ae,20201116,16
ae,20201123,22
ae,20201130,18
ae,20201207,22
ae,20201214,25
ae,20201221,20
ae,20201228,20
ae,20210104,25
af,20200106,0
af,20200113,0
af,20200120,0
af,20200127,0
af,20200203,0
af,20200210,0
af,20200217,0
af,20200224,0
af,20200302,0
af,20200309,0
af,20200316,0
af,20200323,0
af,20200330,4
af,20200406,3
af,20200413,11
af,20200420,15
af,20200427,24
af,20200504,28
af,20200511,35
af,20200518,49
