geo_id,day,notification_rate_per_100000_population_14_days
ad,20200316,
ad,20200323,148.34
ad,20200330,431.89
ad,20200406,509.34
ad,20200413,399.07
ad,20200420,278.3
ad,20200427,133.9
ad,20200504,45.95
ad,20200511,19.69
ad,20200518,17.07
ad,20200525,10.5
ad,20200601,3.94
ad,20200608,116.83
ad,20200615,116.83
ad,20200622,3.94
ad,20200629,2.63
ad,20200706,0
ad,20200713,0
ad,20200720,32.82
ad,20200727,55.13
ad,20200803,59.07
ad,20200810,77.45
ad,20200817,84.01
ad,20200824,116.83
ad,20200831,177.22
ad,20200907,223.16
ad,20200914,288.8
ad,20200921,458.14
ad,20200928,645.86
ad,20201005,716.75
ad,20201012,1128.95
ad,20201019,1663.23
ad,20201026,1761.69
ad,20201102,1900.84
ad,20201109,1765.62
ad,20201116,1374.43
ad,20201123,1146.02
ad,20201130,1102.7
ad,20201207,1042.31
ad,20201214,821.77
ad,20201221,691.81
ad,20201228,326.87
ad,20210104,807.33
ae,20200106,
ae,20200113,0
ae,20200120,0
ae,20200127,0.01
ae,20200203,0.05
ae,20200210,0.06
ae,20200217,0.04
ae,20200224,0.06
ae,20200302,0.12
ae,20200309,0.33
ae,20200316,0.79
ae,20200323,1.11
ae,20200330,4.83
ae,20200406,16.68
ae,20200413,34.92
ae,20200420,52.81
ae,20200427,65.17
ae,20200504,73.9
ae,20200511,80.33
ae,20200518,94.11
ae,20200525,115.52
ae,20200601,114.62
ae,20200608,95.42
ae,20200615,79.19
ae,20200622,62.61
ae,20200629,56.32
ae,20200706,67.7
ae,20200713,72.23
ae,20200720,55.08
ae,20200727,41.54
ae,20200803,41.73
ae,20200810,36.97
ae,20200817,33.91
ae,20200824,45.87
ae,20200831,55.04
ae,20200907,71.41
ae,20200914,100.29
ae,20200921,111.89
ae,20200928,122.61
ae,20201005,142.11
ae,20201012,151.07
ae,20201019,171.96
ae,20201026,193.38
ae,20201102,187.35
ae,20201109,174.2
ae,20201116,168.24
ae,20201123,172.43
ae,20201130,178.17
ae,20201207,178.49
ae,20201214,176.0
ae,20201221,175.49
ae,20201228,172.84
ae,20210104,216.54
af,20200106,
af,20200113,0
af,20200120,0
af,20200127,0
af,20200203,0
af,20200210,0
af,20200217,0
af,20200224,0
af,20200302,0.0
af,20200309,0.01
af,20200316,0.04
af,20200323,0.08
af,20200330,0.26
af,20200406,0.7
af,20200413,1.3
af,20200420,1.83
af,20200427,2.43
af,20200504,4.49
af,20200511,7.55
af,20200518,10.41
af,20200525,16.25
af,20200601,22.45
af,20200608,25.66
af,20200615,25.13
af,20200622,22.32
af,20200629,16.3
af,20200706,10.82
af,20200713,9.16
af,20200720,6.63
af,20200727,4.76
af,20200803,3.25
af,20200810,2.08
af,20200817,2.33
af,20200824,2.48
af,20200831,1.49
af,20200907,1.05
af,20200914,1.46
af,20200921,1.7
af,20200928,1.34
af,20201005,0.78
af,20201012,1.5
af,20201019,2.26
af,20201026,2.72
af,20201102,3.77
af,20201109,3.7
af,20201116,4.65
af,20201123,6.66
af,20201130,6.42
af,20201207,7.22
af,20201214,9.01
af,20201221,6.56
af,20201228,7.19
af,20210104,7.61
ag,20200323,
ag,20200330,7.21
ag,20200406,14.42
ag,20200413,14.42
ag,20200420,8.24
ag,20200427,3.09
ag,20200504,2.06
ag,20200511,1.03
ag,20200518,0
ag,20200525,0
ag,20200601,0
ag,20200608,1.03
ag,20200615,1.03
ag,20200622,0
ag,20200629,40.16
ag,20200706,43.25
ag,20200713,9.27
ag,20200720,8.24
ag,20200727,8.24
ag,20200803,15.45
ag,20200810,10.3
ag,20200817,2.06
ag,20200824,2.06
ag,20200831,1.03
ag,20200907,1.03
ag,20200914,1.03
ag,20200921,1.03
ag,20200928,6.18
ag,20201005,11.33
ag,20201012,10.3
ag,20201019,12.36
ag,20201026,13.39
ag,20201102,9.27
ag,20201109,7.21
ag,20201116,6.18
ag,20201123,8.24
ag,20201130,7.21
ag,20201207,7.21
ag,20201214,7.21
ag,20201221,7.21
ag,20201228,10.3
ag,20210104,7.21
ai,20200330,
ai,20200406,20.17
ai,20200413,6.72
ai,20200420,0
ai,20200427,0
ai,20200504,0
ai,20200511,0
ai,20200518,0
ai,20200525,0
ai,20200601,0
ai,20200608,0
ai,20200615,0
ai,20200622,0
ai,20200629,0
ai,20200706,0
ai,20200713,0
ai,20200720,0
ai,20200727,0
ai,20200803,0
ai,20200810,0
ai,20200817,0
ai,20200824,0
ai,20200831,0
ai,20200907,0
ai,20200914,0
ai,20200921,0
ai,20200928,0
ai,20201005,0
ai,20201012,0
ai,20201019,0
ai,20201026,0
ai,20201102,0
ai,20201109,0
ai,20201116,0
ai,20201123,6.72
ai,20201130,6.72
ai,20201207,33.62
ai,20201214,40.34
ai,20201221,6.72
ai,20201228,20.17
ai,20210104,33.62
al,20200309,
al,20200316,1.47
al,20200323,3.04
al,20200330,5.94
al,20200406,9.5
al,20200413,8.17
al,20200420,7.02
al,20200427,9.78
al,20200504,8.14
al,20200511,4.96
al,20200518,5.28
al,20200525,4.54
al,20200601,6.67
al,20200608,8.66
al,20200615,13.42
al,20200622,23.79
al,20200629,30.78
al,20200706,33.75
al,20200713,36.75
al,20200720,41.82
al,20200727,45.73
al,20200803,49.92
al,20200810,57.57
al,20200817,65.01
al,20200824,70.43
al,20200831,69.87
al,20200907,63.86
al,20200914,68.93
al,20200921,74.41
al,20200928,66.59
al,20201005,65.71
al,20201012,74.76
al,20201019,97.43
al,20201026,131.29
al,20201102,144.88
al,20201109,176.39
al,20201116,231.55
al,20201123,298.87
al,20201130,342.19
al,20201207,357.28
al,20201214,380.97
al,20201221,349.88
al,20201228,280.95
al,20210104,224.81
am,20200106,
am,20200113,0
am,20200120,0
am,20200127,0
am,20200203,0
am,20200210,0
am,20200217,0
am,20200224,0
am,20200302,0.03
am,20200309,0.03
am,20200316,0.91
am,20200323,6.53
am,20200330,15.35
am,20200406,21.6
am,20200413,18.83
am,20200420,17.11
am,20200427,26.0
am,20200504,39.49
am,20200511,53.55
am,20200518,78.3
am,20200525,125.81
am,20200601,157.86
am,20200608,210.03
am,20200615,256.01
am,20200622,245.56
am,20200629,272.61
am,20200706,282.24
am,20200713,237.48
am,20200720,204.38
am,20200727,177.13
am,20200803,139.33
am,20200810,102.11
am,20200817,86.59
am,20200824,80.53
am,20200831,70.56
am,20200907,67.32
am,20200914,71.41
am,20200921,89.53
am,20200928,119.62
am,20201005,171.25
am,20201012,238.39
am,20201019,412.41
am,20201026,755.95
am,20201102,972.17
am,20201109,968.85
am,20201116,826.24
am,20201123,650.6
am,20201130,582.81
am,20201207,528.62
am,20201214,458.39
am,20201221,396.28
am,20201228,313.28
am,20210104,208.1
ao,20200323,
ao,20200330,0.02
ao,20200406,0.04
ao,20200413,0.04
ao,20200420,0.03
ao,20200427,0.02
ao,20200504,0.03
ao,20200511,0.06
ao,20200518,0.04
ao,20200525,0.08
ao,20200601,0.12
ao,20200608,0.07
ao,20200615,0.17
ao,20200622,0.27
ao,20200629,0.4
ao,20200706,0.53
ao,20200713,0.75
ao,20200720,1.13
ao,20200727,1.33
ao,20200803,1.39
ao,20200810,2.02
ao,20200817,2.3
ao,20200824,1.88
ao,20200831,2.34
ao,20200907,2.4
ao,20200914,2.23
ao,20200921,3.32
ao,20200928,4.2
ao,20201005,4.33
ao,20201012,4.95
ao,20201019,6.57
ao,20201026,8.74
ao,20201102,10.5
ao,20201109,10.4
ao,20201116,8.07
ao,20201123,6.78
ao,20201130,5.43
ao,20201207,3.28
ao,20201214,3.41
ao,20201221,3.48
ao,20201228,3.48
ao,20210104,3.14
ar,20200309,
ar,20200316,0.13
ar,20200323,0.57
ar,20200330,1.71
ar,20200406,2.88
ar,20200413,3.09
ar,20200420,3.07
ar,20200427,3.49
ar,20200504,4.11
ar,20200511,4.49
ar,20200518,6.75
ar,20200525,14.04
ar,20200601,20.2
ar,20200608,23.93
ar,20200615,32.88
ar,20200622,44.64
ar,20200629,58.43
ar,20200706,72.78
ar,20200713,88.8
ar,20200720,105.29
ar,20200727,145.19
ar,20200803,165.29
ar,20200810,177.05
ar,20200817,206.69
ar,20200824,212.12
ar,20200831,250.42
ar,20200907,301.48
ar,20200914,324.34
ar,20200921,337.48
ar,20200928,368.11
ar,20201005,392.03
ar,20201012,408.39
ar,20201019,426.96
ar,20201026,438.54
ar,20201102,410.56
ar,20201109,338.52
ar,20201116,305.84
ar,20201123,286.24
ar,20201130,241.89
ar,20201207,207.1
ar,20201214,177.23
ar,20201221,187.63
ar,20201228,206.17
ar,20210104,209.0
at,20200106,
at,20200113,0
at,20200120,0
at,20200127,0
at,20200203,0
at,20200210,0
at,20200217,0
at,20200224,0
at,20200302,0.16
at,20200309,1.15
at,20200316,9.55
at,20200323,39.84
at,20200330,89.78
at,20200406,94.28
at,20200413,57.84
at,20200420,30.78
at,20200427,14.13
at,20200504,9.35
at,20200511,6.75
at,20200518,6.95
at,20200525,7.36
at,20200601,5.51
at,20200608,4.84
at,20200615,4.47
at,20200622,4.71
at,20200629,6.63
at,20200706,11.11
at,20200713,13.79
at,20200720,14.7
at,20200727,18.5
at,20200803,19.62
at,20200810,17.21
at,20200817,23.3
at,20200824,36.44
at,20200831,43.4
at,20200907,44.64
at,20200914,69.05
at,20200921,105.69
at,20200928,114.36
at,20201005,113.57
at,20201012,141.29
at,20201019,191.21
at,20201026,299.74
at,20201102,514.21
at,20201109,789.86
at,20201116,1042.85
at,20201123,1056.76
at,20201130,843.1
at,20201207,619.18
at,20201214,472.46
at,20201221,397.87
at,20201228,353.89
at,20210104,320.04
au,20200106,
au,20200113,0
au,20200120,0
au,20200127,0.02
au,20200203,0.04
au,20200210,0.04
au,20200217,0.02
au,20200224,0.03
au,20200302,0.06
au,20200309,0.23
au,20200316,1.07
au,20200323,6.46
au,20200330,15.06
au,20200406,16.01
au,20200413,8.84
au,20200420,3.44
au,20200427,1.55
au,20200504,0.75
au,20200511,0.9
au,20200518,0.97
au,20200525,0.67
au,20200601,0.6
au,20200608,0.6
au,20200615,0.5
au,20200622,0.8
au,20200629,1.45
au,20200706,3.92
au,20200713,8.38
au,20200720,13.3
au,20200727,18.28
au,20200803,24.29
au,20200810,26.51
au,20200817,21.29
au,20200824,14.79
au,20200831,9.45
au,20200907,5.82
au,20200914,3.89
au,20200921,2.46
au,20200928,1.54
au,20201005,0.94
au,20201012,0.89
au,20201019,1.01
au,20201026,1.02
au,20201102,0.81
au,20201109,0.55
au,20201116,0.52
au,20201123,0.65
au,20201130,0.67
au,20201207,0.57
au,20201214,0.55
au,20201221,0.92
au,20201228,1.11
au,20210104,1.21
aw,20200330,
aw,20200406,60.2
aw,20200413,39.51
aw,20200420,31.04
aw,20200427,7.53
aw,20200504,2.82
aw,20200511,0.94
aw,20200518,0.94
aw,20200525,0
aw,20200601,0
aw,20200608,0
aw,20200615,0
aw,20200622,0
aw,20200629,0
aw,20200706,3.76
aw,20200713,3.76
aw,20200720,7.53
aw,20200727,13.17
aw,20200803,8.47
aw,20200810,417.65
aw,20200817,921.83
aw,20200824,945.35
aw,20200831,841.88
aw,20200907,828.71
aw,20200914,986.74
aw,20200921,1036.59
aw,20200928,750.63
aw,20201005,496.66
aw,20201012,329.23
aw,20201019,228.58
aw,20201026,212.59
aw,20201102,185.31
aw,20201109,169.32
aw,20201116,134.51
aw,20201123,123.22
aw,20201130,165.55
aw,20201207,220.11
aw,20201214,198.48
aw,20201221,198.48
aw,20201228,257.74
aw,20210104,364.97
az,20200106,
az,20200113,0
az,20200120,0
az,20200127,0
az,20200203,0
az,20200210,0
az,20200217,0
az,20200224,0
az,20200302,0.03
az,20200309,0.09
az,20200316,0.16
az,20200323,0.56
az,20200330,1.89
az,20200406,5.17
az,20200413,8.85
az,20200420,8.1
az,20200427,5.44
az,20200504,5.31
az,20200511,8.7
az,20200518,13.36
az,20200525,15.95
az,20200601,22.09
az,20200608,34.15
